Kommunenavn;Kommune;Kirke;Skattenedslag;Grundskyld (promille)
Albertslund;25,6;0,8;0,68;33,94
Allerød;24,3;0,58;0;22,8
Assens;26,1;0,95;1,18;22,12
Ballerup;25,5;0,72;0,58;28,89
Billund;24;0,89;0;18,48
Bornholm;26,2;0,93;1,28;34
Brøndby;24,3;0,8;0;20,5
Brønderslev;26,9;1,09;1,98;31,23
Dragør;24,8;0,6;0;24,47
Egedal;25,7;0,75;0,78;23,98
Esbjerg;25,6;0,81;0,68;25,29
Fanø;24,9;1,14;0;34
Favrskov;25,7;0,97;0,78;23,32
Faxe;26;1,08;1,08;25
Fredensborg;25,3;0,6;0,38;24,65
Fredericia;25,5;0,88;0,58;26
Frederiksberg;22,8;0,5;0;24,75
Frederikshavn;26,2;1,03;1,28;29,9
Frederikssund;25,8;0,96;0,88;32,5
Furesø;24,8;0,65;0;21,5
Faaborg-Midtfyn;26,1;1,05;1,18;22,85
Gentofte;22,8;0,39;0;16
Gladsaxe;23,6;0,72;0;23
Glostrup;23,6;0,8;0;25
Greve;23,9;0,73;0;16,94
Gribskov;25,4;0,85;0,48;29,34
Guldborgsund;26,3;1,16;1,38;32,34
Haderslev;26,3;0,95;1,38;24,36
Halsnæs;25,7;0,85;0,78;34
Hedensted;25,4;0,98;0,48;18
Helsingør;25,3;0,63;0,38;28,5
Herlev;23,7;0,75;0;24,3
Herning;24,9;0,99;0;20,53
Hillerød;25,6;0,69;0,68;20,65
Hjørring;25,9;1,19;0,98;34
Holbæk;25,3;0,96;0,38;25,09
Holstebro;25,3;1,08;0,38;24,12
Horsens;25,2;0,81;0,28;22,56
Hvidovre;25,5;0,72;0,58;29,7
Høje-Taastrup;24,6;0,85;0;24,4
Hørsholm;23,2;0,62;0;22,1
Ikast-Brande;25,1;0,97;0,18;20,35
Ishøj;25;0,9;0,08;25
Jammerbugt;25,7;1,2;0,78;32,85
Kalundborg;24,8;1,01;0;34
Kerteminde;26,4;0,98;1,48;30,3
Kolding;25;0,92;0,08;25
København;23,8;0,8;0;34
Køge;24,9;0,87;0;21,04
Langeland;27,8;1,14;2,88;24,57
Lejre;25,2;1,05;0,28;28,23
Lemvig;25,2;1,27;0,28;28
Lolland;27;1,23;2,08;33,09
Lyngby-Taarbæk;23,7;0,58;0;21,49
Læsø;26,5;1,3;1,58;34
Mariagerfjord;26,1;1,15;1,18;34
Middelfart;25,8;0,9;0,88;21,29
Morsø;25,8;1,2;0,88;24,68
Norddjurs;26,7;1;1,78;34
Nordfyns;26;1,04;1,08;29,98
Nyborg;26,4;1,1;1,48;27,83
Næstved;25;0,98;0,08;25
Odder;25,1;0,96;0,18;30,32
Odense;25,3;0,68;0,38;21,71
Odsherred;26,6;0,98;1,68;34
Randers;25,6;0,89;0,68;27,93
Rebild;25,5;1,2;0,58;26,09
Ringkøbing-Skjern;25;1,05;0,08;31
Ringsted;26,7;0,93;1,78;24,74
Roskilde;25,2;0,84;0,28;24,31
Rudersdal;22,5;0,56;0;22,93
Rødovre;25,7;0,72;0,78;30,8
Samsø;26;1,22;1,08;30,75
Silkeborg;25,5;0,95;0,58;28,26
Skanderborg;25,7;0,86;0,78;24,66
Skive;25,5;1;0,58;20,68
Slagelse;25,1;0,96;0,18;25,3
Solrød;24,6;0,82;0;20,95
Sorø;26,4;0,95;1,48;25,74
Stevns;25;1,1;0,08;21,52
Struer;25,3;1,2;0,38;22,9
Svendborg;26,8;1,02;1,88;23,32
Syddjurs;25,9;1;0,98;33,8
Sønderborg;25,7;0,93;0,78;27,1
Thisted;25,5;1,27;0,58;23,75
Tønder;25,3;1,16;0,38;21,24
Tårnby;23,1;0,61;0;24
Vallensbæk;25,1;0,68;0,18;24,38
Varde;25,1;0,98;0,18;31,56
Vejen;25,2;1,06;0,28;20,36
Vejle;23,4;0,89;0;27,75
Vesthimmerland;27;1,18;2,08;22,82
Viborg;25,7;0,93;0,78;23,7
Vordingborg;25,2;1,02;0,28;32,32
Ærø;26,1;1,07;1,18;30
Aabenraa;25,6;0,95;0,68;18,9
Aalborg;25,4;0,98;0,48;26,95
Aarhus;24,4;0,74;0;24,58
